num1,num2,num3,num4,num5,mb
24,37,41,61,70,20
09,17,23,30,46,10
07,24,30,48,67,9
18,25,43,44,57,25
11,29,34,48,54,10
01,24,25,40,70,4
11,22,34,44,58,9
08,22,24,38,64,21
33,47,58,59,64,25
05,14,15,62,66,3
04,14,22,43,58,9
07,36,58,60,62,10
10,42,53,67,68,15
03,29,56,62,64,4
10,12,16,49,57,18
04,09,42,62,68,7
15,20,32,37,52,6
29,33,39,60,66,21
10,12,14,24,60,20
18,24,31,34,55,4
17,24,34,56,65,3
10,38,40,43,65,12
15,32,39,50,65,7
14,24,31,42,48,13
03,34,36,59,66,7
02,37,48,66,68,11
10,33,53,54,62,22
08,16,30,38,61,10
04,15,37,59,64,16
02,43,48,62,64,24
29,52,58,60,62,7
04,05,31,62,69,20
13,26,29,38,64,5
21,29,35,54,60,15
34,44,57,62,70,14
09,10,25,37,38,21
02,08,42,43,50,6
10,13,61,62,70,5
13,22,32,60,69,9
05,22,26,43,49,23
04,38,39,54,59,12
04,10,20,33,57,13
28,31,41,42,50,4
25,28,40,43,63,19
12,24,37,42,57,18
07,10,30,33,59,23
10,16,31,42,66,10
33,36,63,68,69,16
34,46,57,65,69,11
08,14,27,57,67,5
28,34,37,56,69,12
03,23,28,46,62,16
20,31,39,46,49,23
01,28,61,62,63,5
05,28,62,65,70,5
15,23,53,65,70,7
03,45,49,61,69,9
04,24,46,61,70,7
20,22,39,54,60,18
27,28,32,41,69,12
02,22,29,31,34,1
39,45,52,56,59,15
08,16,32,48,61,12
01,02,11,52,64,9
31,32,43,63,68,17
23,30,40,43,66,13
15,30,51,62,67,19
08,10,41,54,68,10
02,07,25,35,44,3
07,18,29,32,45,17
03,20,33,34,41,20
01,06,13,18,49,8
14,16,19,38,57,11
01,31,32,47,56,3
11,26,44,45,46,11
01,03,12,22,42,6
02,13,15,21,62,2
09,28,30,54,60,2
12,15,35,64,69,9
01,32,40,49,63,20
01,02,04,19,29,20
01,14,30,44,62,1
40,41,61,66,67,12
21,22,39,59,68,2
01,17,28,56,70,14
02,10,46,50,56,16
13,35,45,49,68,23
02,32,47,49,68,23
17,25,29,39,60,19
02,06,11,27,44,20
11,13,28,65,70,14
01,11,37,47,51,6
01,03,05,08,70,3
14,30,33,44,56,13
22,33,41,48,52,4
05,24,52,62,66,17
02,11,55,58,67,2
11,14,51,64,68,25
16,17,21,36,48,9
09,26,53,64,66,11
21,34,44,49,61,21
14,38,40,53,70,22
